2002年电网建设企业债券(十五年期),111018,02电网15,7100,02电网债(2),2017-06-19
2002年中国广东核电集团有限公司企业债券,111019,02广核债,7108,02广核债,2017-11-11
2004年北京首都旅游集团有限责任公司公司债券,111022,04首旅债,048002,04首旅债,2014-02-19
2003年中国铁路建设债券,111023,03中铁债,038007,03中铁债,2021-08-25
2004年中国华电集团公司企业债券(固定利率),111024,04华电1,048010,04华电债（1）,2014-09-29
2004年中国华电集团公司企业债券(浮动利率),111025,04华电2,048011,04华电债（2）,2014-09-29
2005年广东省交通集团有限公司公司债券,111026,05粤交通,058009,05粤交通债,2020-06-29
2006年河南投资集团有限公司企业债券,111029,06豫投债,068001,06豫投债,2016-01-19
2005年天津泰达投资控股有限公司公司债券,111030,05泰达债,058034,05泰达债,2015-12-19
2006年湖北省能源集团有限公司公司债券,111031,06鄂能债,068025,06鄂能债,2016-05-22
2006年山东鲁能集团有限公司公司债券,111032,06鲁能债,068035,06鲁能债,2021-07-31
2006年中国节能投资公司企业债券,111035,06节能债,068013,06节能债,2016-04-03
2008年内蒙古奈伦集团股份有限公司公司债券,111039,08奈伦债,088011,08蒙奈伦债,2015-05-20
2008年铁岭公共资产投资运营有限公司公司债券,111041,08铁岭债,088025,08铁岭债,2015-08-21
2008年嘉兴城市建设投资有限公司公司债券,111042,08嘉城投,088027,08嘉城投债,2015-08-27
2008年湖南有色金属控股集团有限公司公司债券,111043,08湘有色,088043,08湘有色债,2018-10-06
2008年西宁城市投资管理有限公司企业债券,111045,08西城投,088068,08西宁城投债,2015-12-16
2008年东北特殊钢集团有限责任公司公司债券,111046,08东特债,088071,08东特债,2015-12-25
2008年长兴县交通建设投资公司企业债券,111047,08长兴债,088072,08长兴债,2016-01-06
2009年重庆市水利投资(集团)有限公司公司债券,111048,09渝水投,098004,09渝水投债,2016-02-09
2009年绍兴市水务集团有限公司公司债券,111049,09绍水务,098006,09绍兴水务债,2016-02-09
2009年湖南华菱钢铁集团有限责任公司公司债券,111050,09华菱债,098008,09华菱债,2019-02-17
2009年怀化市城市建设投资有限公司公司债券,111051,09怀化债,098011,09怀化城投债,2019-02-18
2009年哈尔滨市城市建设投资集团有限公司公司债券,111052,09哈城投,098023,09哈城投债,2019-03-12
2009年许继集团有限公司公司债券,111053,09许继债,098036,09许继债,2015-03-25
2009年大连市中小企业集合债券,111054,09连中小,098066,09大连中小债,2015-04-28
2009年江苏华西集团公司企业债券,111055,09华西债,098082,09华西债,2016-05-15
2009年湖州市交通投资集团有限公司公司债券,111056,09湖交投,098089,09湖交投债,2016-05-21
2009年兖州市惠民城建投资有限公司公司债券,111057,09兖城投,0980137,09兖城投债,2016-09-23
2009年黄石市城市建设投资开发公司企业债券,111058,09黄城投,0980189,09黄石城投债,2017-12-31
2009年宿州市建设投资有限责任公司公司债券,111059,09宿建投,0980171,09宿建投债,2016-12-03
2010年佳木斯市新时代城市基础设施建设投资(集团)有限公司公司债券,111060,10佳城投,1080030,10佳城投债,2017-03-09
2010年太原市高速铁路投资有限公司公司债券,111062,10并高铁,1080107,10并高铁债,2020-09-06
2011年富阳市城市建设投资集团有限公司公司债券,111063,11富阳债,1180049,11富阳债,2018-03-03
2011年长兴县交通建设投资公司企业债券,111064,11长交债,1180056,11长交债,2018-03-10
